Parameters	Mean	Medians	1 sig interval min	1 sig interval max
α	0.8325816332935453	0.8325661563145096	0.8323883662687621	0.8327374768918305
β	0.27438359550385916	0.2743977537109475	0.27423136524920233	0.2745701765205251
ρ	0.12045622173973308	0.12047542699197746	0.12033468693240652	0.1206216231904978
δ	0.01015071252649354	0.010147154621891443	0.010109728504575968	0.010184644472562888
logS0	3.593817538249915	3.593934568698842	3.5929609224630994	3.594959109762016
